genres,release_year,count,budget,popularity,revenue,average_rating,vote_count,profit
Action,1981,5,16400000,11.9019088,38630191.8,6.38,199.2,22230191.8
Action,1982,4,7825000,24.3814235,59017358,6.675,581.5,51192358
Action,1983,2,15000000,39.2793235,39058665.5,6.75,1507.5,24058665.5
Action,1984,7,17800000,22.42366571,68346525.71,6.314285714,863.5714286,50546525.71
Action,1985,8,15288190.38,17.89309262,52534449.25,6.3,358.875,37246258.88
Action,1986,3,21666666.67,34.653057,149216180,6.466666667,902.3333333,127549513.3
Action,1987,7,22714285.71,14.98445986,80421174.14,5.528571429,309.4285714,57706888.43
Action,1988,6,17750000,26.115057,63689740,6.35,949.1666667,45939740
Action,1989,4,25000000,11.6541675,35058286,6.125,246,10058286
Action,1990,5,45000000,36.4856906,153908880.8,6.74,1099.6,108908880.8
Action,1991,8,31375000,20.60929238,72823856,5.925,606,41448856
Action,1992,4,32055000,29.96694025,91071479.25,6.5,702.75,59016479.25
Action,1993,14,17757142.86,12.84012914,30303223.29,6.121428571,236.2857143,12546080.43
Action,1994,14,37000000,17.28188407,104719806.3,5.828571429,391.9285714,67719806.29
Action,1995,19,51157894.74,21.46706405,107750469.9,5.942105263,672.7368421,56592575.16
Action,1996,15,57200000,21.61622307,187428393.4,5.746666667,593.6,130228393.4
Action,1997,24,54083333.33,21.77007129,107736693,5.5625,586.7916667,53653359.71
Action,1998,19,54712105.26,21.12293711,94683041.63,6.105263158,588.2631579,39970936.37
Action,1999,15,53933333.33,23.46583913,82679078.6,5.54,939.0666667,28745745.27
Action,2000,27,40225925.93,16.44729022,76041737.26,5.7,477.8518519,35815811.33
Action,2001,40,36525000,13.66042903,58731397.5,5.7825,393.4,22206397.5
Action,2002,34,39632352.94,21.16301941,76819935.97,5.820588235,589.7941176,37187583.03
Action,2003,26,52714615.38,24.58350842,95873089.77,5.896153846,779.1923077,43158474.38
Action,2004,25,59180000,27.59547132,149791375.6,6.112,1255.48,90611375.6
Action,2005,35,42057142.86,21.98173237,66623913.29,5.771428571,724.8,24566770.43
Action,2006,31,26719358.39,19.35212274,65935962.65,6.187096774,708.6129032,39216604.26
Action,2007,24,31250000,16.3489645,76091809.13,5.5,523.5,44841809.13
Action,2008,32,40500000,27.24846381,86592483.41,5.878125,983.75,46092483.41
Action,2009,34,45983823.53,24.49730353,161737612.5,5.720588235,1123.264706,115753789
Action,2010,29,61444827.59,31.66644672,137690344.9,6.024137931,1559.103448,76245517.28
Action,2011,34,57925015.62,30.70188297,173370683.5,6.111764706,1415.323529,115445667.9
