,budget,genres,id,popularity,release_date,revenue,title,vote_average,vote_count,profit,release_year
0,237000000,Action,19995,150.437577,2009-12-10,2787965087,Avatar,7.2,11800,2550965087,2009
1,300000000,Adventure,285,139.082615,2007-05-19,961000000,Pirates of the Caribbean: At World's End,6.9,4500,661000000,2007
2,245000000,Action,206647,107.37678799999999,2015-10-26,880674609,Spectre,6.3,4466,635674609,2015
3,250000000,Action,49026,112.31295,2012-07-16,1084939099,The Dark Knight Rises,7.6,9106,834939099,2012
4,260000000,Action,49529,43.926995,2012-03-07,284139100,John Carter,6.1,2124,24139100,2012
5,258000000,Fantasy,559,115.69981399999999,2007-05-01,890871626,Spider-Man 3,5.9,3576,632871626,2007
6,260000000,Animation,38757,48.681969,2010-11-24,591794936,Tangled,7.4,3330,331794936,2010
7,280000000,Action,99861,134.27922900000002,2015-04-22,1405403694,Avengers: Age of Ultron,7.3,6767,1125403694,2015
8,250000000,Adventure,767,98.885637,2009-07-07,933959197,Harry Potter and the Half-Blood Prince,7.4,5293,683959197,2009
9,250000000,Action,209112,155.790452,2016-03-23,873260194,Batman v Superman: Dawn of Justice,5.7,7004,623260194,2016
10,270000000,Adventure,1452,57.925623,2006-06-28,391081192,Superman Returns,5.4,1400,121081192,2006
11,200000000,Adventure,10764,107.92881100000001,2008-10-30,586090727,Quantum of Solace,6.1,2965,386090727,2008
12,200000000,Adventure,58,145.84737900000002,2006-06-20,1065659812,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,865659812,2006
13,255000000,Action,57201,49.046956,2013-07-03,89289910,The Lone Ranger,5.9,2311,-165710090,2013
14,225000000,Action,49521,99.398009,2013-06-12,662845518,Man of Steel,6.5,6359,437845518,2013
15,225000000,Adventure,2454,53.978602,2008-05-15,419651413,The Chronicles of Narnia: Prince Caspian,6.3,1630,194651413,2008
16,220000000,Science Fiction,24428,144.448633,2012-04-25,1519557910,The Avengers,7.4,11776,1299557910,2012
17,380000000,Adventure,1865,135.413856,2011-05-14,1045713802,Pirates of the Caribbean: On Stranger Tides,6.4,4948,665713802,2011
18,225000000,Action,41154,52.035179,2012-05-23,624026776,Men in Black 3,6.2,4160,399026776,2012
19,250000000,Action,122917,120.96574299999999,2014-12-10,956019788,The Hobbit: The Battle of the Five Armies,7.1,4760,706019788,2014
20,215000000,Action,1930,89.866276,2012-06-27,752215857,The Amazing Spider-Man,6.5,6586,537215857,2012
21,200000000,Action,20662,37.668301,2010-05-12,310669540,Robin Hood,6.2,1398,110669540,2010
22,250000000,Adventure,57158,94.370564,2013-12-11,958400000,The Hobbit: The Desolation of Smaug,7.6,4524,708400000,2013
23,180000000,Adventure,2268,42.990906,2007-12-04,372234864,The Golden Compass,5.8,1303,192234864,2007
24,207000000,Adventure,254,61.226009999999995,2005-12-14,550000000,King Kong,6.6,2337,343000000,2005
25,200000000,Drama,597,100.025899,1997-11-18,1845034188,Titanic,7.5,7562,1645034188,1997
26,250000000,Adventure,271110,198.37239499999998,2016-04-27,1153304495,Captain America: Civil War,7.1,7241,903304495,2016
27,209000000,Thriller,44833,64.928382,2012-04-11,303025485,Battleship,5.5,2114,94025485,2012
28,150000000,Action,135397,418.708552,2015-06-09,1513528810,Jurassic World,6.5,8662,1363528810,2015
29,200000000,Action,37724,93.004993,2012-10-25,1108561013,Skyfall,6.9,7604,908561013,2012
30,200000000,Action,558,35.149586,2004-06-25,783766341,Spider-Man 2,6.7,4321,583766341,2004
31,200000000,Action,68721,77.68208,2013-04-18,1215439994,Iron Man 3,6.8,8806,1015439994,2013
32,200000000,Family,12155,78.530105,2010-03-03,1025491110,Alice in Wonderland,6.4,4645,825491110,2010
33,210000000,Adventure,36668,3.857526,2006-05-24,459359555,X-Men: The Last Stand,6.3,3525,249359555,2006
34,200000000,Animation,62211,89.186492,2013-06-20,743559607,Monsters University,7.0,3528,543559607,2013
35,150000000,Science Fiction,8373,21.939663,2009-06-19,836297228,Transformers: Revenge of the Fallen,6.0,3138,686297228,2009
36,210000000,Science Fiction,91314,116.840296,2014-06-25,1091405097,Transformers: Age of Extinction,5.8,3095,881405097,2014
37,200000000,Fantasy,68728,46.985445,2013-03-07,491868548,Oz: The Great and Powerful,5.7,3530,291868548,2013
38,200000000,Action,102382,89.270217,2014-04-16,705717432,The Amazing Spider-Man 2,6.5,4179,505717432,2014
39,170000000,Adventure,20526,73.79505,2010-12-10,400062763,TRON: Legacy,6.3,2841,230062763,2010
40,200000000,Animation,49013,49.98659,2011-06-11,559852396,Cars 2,5.8,2033,359852396,2011
41,200000000,Adventure,44912,51.872839,2011-06-16,219851172,Green Lantern,5.1,2487,19851172,2011
42,200000000,Animation,10193,59.99541800000001,2010-06-16,1066969703,Toy Story 3,7.6,4597,866969703,2010
43,200000000,Action,534,71.862892,2009-05-20,371353001,Terminator Salvation,5.9,2463,171353001,2009
44,190000000,Action,168259,102.32221700000001,2015-04-01,1506249360,Furious 7,7.3,4176,1316249360,2015
45,200000000,Action,72190,81.834855,2013-06-20,531865000,World War Z,6.7,5560,331865000,2013
46,250000000,Action,127585,118.07869099999999,2014-05-15,747862775,X-Men: Days of Future Past,7.5,6032,497862775,2014
47,190000000,Action,54138,78.29101800000001,2013-05-05,467365246,Star Trek Into Darkness,7.4,4418,277365246,2013
48,195000000,Action,81005,43.349855,2013-02-27,197687603,Jack the Giant Slayer,5.5,2598,2687603,2013
49,105000000,Drama,64682,61.196070999999996,2013-05-10,351040419,The Great Gatsby,7.3,3769,246040419,2013
50,150000000,Adventure,9543,62.169881000000004,2010-05-19,335154643,Prince of Persia: The Sands of Time,6.2,2317,185154643,2010
51,180000000,Action,68726,56.523205000000004,2013-07-11,407602906,Pacific Rim,6.7,4794,227602906,2013
52,195000000,Action,38356,28.529607000000002,2011-06-28,1123746996,Transformers: Dark of the Moon,6.1,3299,928746996,2011
53,185000000,Adventure,217,75.674458,2008-05-21,786636033,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,601636033,2008
54,175000000,Adventure,105864,51.692953,2015-11-14,331926147,The Good Dinosaur,6.6,1736,156926147,2015
55,185000000,Animation,62177,125.114374,2012-06-21,538983207,Brave,6.7,4641,353983207,2012
56,185000000,Action,188927,65.352913,2016-07-07,343471816,Star Trek Beyond,6.6,2568,158471816,2016
57,180000000,Animation,10681,66.390712,2008-06-22,521311860,WALL·E,7.8,6296,341311860,2008
58,140000000,Action,5174,22.57178,2007-08-08,258022233,Rush Hour 3,6.1,783,118022233,2007
59,200000000,Action,14161,45.274225,2009-10-10,769653595,2012,5.6,4903,569653595,2009
60,200000000,Animation,17979,39.744242,2009-11-04,325233863,A Christmas Carol,6.6,1095,125233863,2009
61,176000003,Science Fiction,76757,85.36908000000001,2015-02-04,183987723,Jupiter Ascending,5.2,2768,7987720,2015
62,180000000,Action,258489,42.741719,2016-06-29,356743061,The Legend of Tarzan,5.5,2430,176743061,2016
63,180000000,Adventure,411,67.391328,2005-12-07,748806957,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,568806957,2005
64,178000000,Science Fiction,246655,139.272042,2016-05-18,543934787,X-Men: Apocalypse,6.4,4721,365934787,2016
65,185000000,Drama,155,187.322927,2008-07-16,1004558444,The Dark Knight,8.2,12002,819558444,2008
66,175000000,Animation,14160,92.201962,2009-05-13,735099082,Up,7.7,6870,560099082,2009
67,175000000,Animation,15512,36.167578000000006,2009-03-19,381509870,Monsters vs Aliens,6.0,1423,206509870,2009
68,140000000,Action,1726,120.725053,2008-04-30,585174222,Iron Man,7.4,8776,445174222,2008
69,170000000,Adventure,44826,32.319043,2011-11-22,185770160,Hugo,7.0,2141,15770160,2011
70,170000000,Action,8487,40.748915000000004,1999-06-29,222104681,Wild Wild West,5.1,1020,52104681,1999
71,145000000,Adventure,1735,60.034162,2008-07-01,401128639,The Mummy: Tomb of the Dragon Emperor,5.2,1387,256128639,2008
72,175000000,Action,297761,90.23791999999999,2016-08-02,745000000,Suicide Squad,5.9,7458,570000000,2016
73,175000000,Fantasy,2698,27.082182,2007-06-09,173000000,Evan Almighty,5.3,1151,-2000000,2007
74,178000000,Action,137113,79.456485,2014-05-27,370541256,Edge of Tomorrow,7.6,4858,192541256,2014
75,175000000,Adventure,9804,44.640291999999995,1995-07-28,264218220,Waterworld,5.9,992,89218220,1995
76,175000000,Adventure,14869,32.852443,2009-08-04,302469017,G.I. Joe: The Rise of Cobra,5.6,1962,127469017,2009
77,175000000,Drama,150540,128.65596399999998,2015-06-09,857611174,Inside Out,8.0,6560,682611174,2015
78,175000000,Family,278927,94.19931600000001,2016-04-07,966550600,The Jungle Book,6.7,2892,791550600,2016
79,200000000,Adventure,10138,77.30019399999999,2010-04-28,623933331,Iron Man 2,6.6,6849,423933331,2010
80,170000000,Adventure,58595,77.178973,2012-05-30,396600000,Snow White and the Huntsman,5.8,3118,226600000,2012
81,180000000,Fantasy,102651,110.62064699999999,2014-05-28,758539785,Maleficent,7.0,4496,578539785,2014
82,170000000,Science Fiction,119450,243.79174300000003,2014-06-26,710644566,Dawn of the Planet of the Apes,7.3,4410,540644566,2014
83,27000000,Action,79698,2.418535,2015-02-13,0,The Lovers,4.8,34,-27000000,2015
84,175000000,Drama,64686,41.796339,2013-12-06,150962475,47 Ronin,5.9,1326,-24037525,2013
85,170000000,Action,100402,72.22526500000001,2014-03-20,714766572,Captain America: The Winter Soldier,7.6,5764,544766572,2014
86,165000000,Comedy,10192,44.041185999999996,2010-05-16,752600867,Shrek Forever After,6.0,1959,587600867,2010
87,190000000,Adventure,158852,130.311355,2015-05-19,209154322,Tomorrowland,6.2,2846,19154322,2015
88,165000000,Adventure,177572,203.73459,2014-10-24,652105443,Big Hero 6,7.8,6135,487105443,2014
