source,target,cluster
19995,206647,10
19995,559,10
19995,1452,10
19995,10764,10
19995,57201,10
19995,49521,10
19995,1865,10
19995,41154,10
19995,57158,10
19995,2268,10
19995,254,10
19995,597,10
19995,44833,10
19995,135397,10
19995,12155,10
19995,36668,10
19995,68728,10
19995,49013,10
19995,44912,10
19995,10193,10
19995,534,10
19995,72190,10
19995,127585,10
19995,81005,10
19995,9543,10
19995,68726,10
19995,38356,10
19995,105864,10
19995,62177,10
19995,5174,10
19995,17979,10
19995,76757,10
19995,155,10
19995,14160,10
19995,15512,10
19995,1726,10
19995,44826,10
19995,8487,10
19995,297761,10
19995,2698,10
19995,14869,10
19995,150540,10
19995,278927,10
19995,58595,10
19995,102651,10
19995,119450,10
19995,64686,10
19995,10192,10
19995,158852,10
19995,177572,10
19995,82690,10
19995,5255,10
19995,10191,10
19995,118340,10
19995,157336,10
19995,27205,10
19995,315011,10
19995,4922,10
19995,49538,10
19995,27022,10
19995,503,10
19995,241259,10
19995,810,10
19995,87101,10
19995,676,10
19995,1858,10
19995,1966,10
19995,675,10
19995,8960,10
19995,6479,10
19995,118,10
19995,2062,10
19995,10527,10
19995,18360,10
19995,2080,10
19995,605,10
19995,109445,10
19995,604,10
19995,76341,10
19995,13448,10
19995,13053,10
19995,19585,10
19995,62213,10
19995,5559,10
19995,10196,10
19995,50321,10
19995,82703,10
19995,652,10
19995,43074,10
19995,95,10
19995,608,10
19995,2310,10
19995,140300,10
19995,81188,10
19995,616,10
19995,147441,10
19995,557,10
19995,82702,10
19995,205584,10
19995,13183,10
19995,944,10
19995,1927,10
19995,72559,10
19995,7364,10
19995,2114,10
19995,50620,10
19995,281957,10
19995,44896,10
19995,270946,10
19995,9502,10
19995,228161,10
19995,74,10
19995,8961,10
19995,417859,10
19995,27576,10
19995,17578,10
19995,181533,10
19995,38055,10
19995,49524,10
19995,131631,10
19995,591,10
19995,36658,10
19995,58574,10
19995,415,10
19995,8871,10
19995,435,10
19995,1979,10
19995,87827,10
19995,1250,10
19995,70981,10
19995,10996,10
19995,68724,10
19995,7459,10
19995,75612,10
19995,1895,10
19995,76170,10
19995,2395,10
19995,12100,10
19995,290595,10
19995,98566,10
19995,49047,10
19995,308531,10
19995,1593,10
19995,2024,10
19995,787,10
19995,262500,10
19995,40805,10
19995,53182,10
19995,41513,10
19995,262504,10
19995,39254,10
19995,77931,10
19995,10588,10
19995,1495,10
19995,10137,10
19995,10198,10
19995,286217,10
19995,1635,10
19995,98,10
19995,180,10
19995,869,10
19995,11322,10
19995,18487,10
19995,68718,10
19995,10545,10
19995,2059,10
19995,2486,10
19995,16523,10
19995,116711,10
19995,37710,10
19995,9946,10
19995,1372,10
19995,106646,10
19995,414,10
19995,563,10
19995,83542,10
19995,41216,10
19995,9016,10
19995,18162,10
19995,10214,10
19995,205775,10
19995,11692,10
19995,22972,10
19995,227973,10
19995,1734,10
19995,3131,10
19995,9890,10
19995,855,10
19995,18,10
19995,57800,10
19995,150689,10
19995,68737,10
19995,1995,10
19995,157353,10
19995,331,10
19995,61791,10
19995,10733,10
19995,9806,10
19995,607,10
19995,5175,10
19995,2655,10
19995,8355,10
19995,116745,10
19995,4327,10
19995,10674,10
19995,65754,10
19995,10528,10
19995,10865,10
19995,2253,10
19995,10661,10
19995,257344,10
19995,644,10
19995,10756,10
19995,686,10
19995,9383,10
19995,1996,10
19995,291805,10
19995,10003,10
19995,10357,10
19995,4477,10
19995,8665,10
19995,921,10
19995,664,10
19995,8358,10
19995,9836,10
19995,76492,10
19995,4523,10
19995,7484,10
19995,853,10
19995,10159,10
19995,9593,10
19995,51052,10
19995,297,10
19995,9884,10
19995,62764,10
19995,9341,10
19995,12107,10
19995,9637,10
19995,9339,10
19995,16281,10
19995,8247,10
19995,11253,10
19995,310,10
19995,27578,10
19995,70160,10
19995,364,10
19995,7518,10
19995,9986,10
19995,8656,10
19995,146216,10
19995,55301,10
19995,11665,10
19995,11324,10
19995,9928,10
19995,754,10
19995,10202,10
19995,13027,10
19995,9574,10
19995,11618,10
19995,2300,10
19995,12096,10
19995,10200,10
19995,228150,10
19995,6068,10
19995,41515,10
19995,9023,10
19995,38317,10
19995,2157,10
19995,14462,10
19995,49948,10
19995,2135,10
19995,9822,10
19995,12159,10
19995,9678,10
19995,4442,10
19995,75,10
19995,330770,10
19995,9433,10
19995,19959,10
19995,77951,10
19995,5491,10
19995,9447,10
19995,274854,10
19995,8870,10
19995,9992,10
19995,36970,10
19995,10077,10
19995,76649,10
19995,293644,10
19995,8587,10
19995,109451,10
19995,9533,10
19995,2023,10
19995,309809,10
19995,4858,10
19995,17711,10
19995,8698,10
19995,953,10
19995,9693,10
19995,950,10
19995,2976,10
19995,332,10
19995,6538,10
19995,10555,10
19995,612,10
19995,9567,10
19995,37821,10
19995,203801,10
19995,9297,10
19995,3172,10
19995,6520,10
19995,37958,10
19995,2026,10
19995,7450,10
19995,11375,10
19995,9425,10
19995,25769,10
19995,23685,10
19995,11866,10
19995,9741,10
19995,211672,10
19995,23629,10
19995,8688,10
19995,153518,10
19995,8676,10
19995,4349,10
19995,10808,10
19995,197,10
19995,1997,10
19995,3050,10
19995,2675,10
19995,16869,10
19995,879,10
19995,1903,10
19995,9697,10
19995,395,10
19995,23398,10
19995,10590,10
19995,587,10
19995,10395,10
19995,152760,10
19995,2756,10
19995,49017,10
19995,9882,10
19995,2270,10
19995,978,10
19995,3132,10
19995,8814,10
19995,8427,10
19995,52520,10
19995,80585,10
19995,11535,10
19995,12610,10
19995,5137,10
19995,3093,10
19995,4614,10
19995,24021,10
19995,26428,10
19995,9824,10
19995,300673,10
19995,72331,10
19995,1844,10
19995,846,10
19995,9703,10
19995,425,10
19995,6171,10
19995,9021,10
19995,9208,10
19995,4244,10
19995,1852,10
19995,345,10
19995,196867,10
19995,256591,10
19995,59962,10
19995,36648,10
19995,71679,10
19995,11412,10
19995,11983,10
19995,6795,10
19995,10783,10
19995,257,10
19995,9947,10
19995,253412,10
19995,1427,10
19995,818,10
19995,16577,10
19995,329,10
19995,12160,10
19995,3536,10
19995,12138,10
19995,273248,10
19995,9955,10
19995,1271,10
19995,497,10
19995,9982,10
19995,210577,10
19995,9837,10
19995,5994,10
19995,39514,10
19995,1538,10
19995,9334,10
19995,11128,10
19995,8914,10
19995,13576,10
19995,39538,10
19995,10628,10
19995,8645,10
19995,9509,10
19995,9279,10
19995,1487,10
19995,77174,10
19995,4824,10
19995,9620,10
19995,10199,10
19995,10771,10
19995,8078,10
19995,7485,10
19995,170687,10
19995,6435,10
19995,6278,10
19995,82682,10
19995,17610,10
19995,16558,10
19995,9849,10
19995,16866,10
19995,11679,10
19995,38321,10
19995,14411,10
19995,8413,10
19995,9664,10
19995,10384,10
19995,137321,10
19995,123553,10
19995,11260,10
19995,8285,10
19995,210860,10
19995,2312,10
19995,9839,10
19995,13922,10
19995,190859,10
19995,257445,10
19995,9007,10
19995,889,10
19995,1370,10
19995,347969,10
19995,35791,10
19995,72431,10
19995,1813,10
19995,8840,10
19995,10589,10
19995,71676,10
19995,10022,10
19995,11358,10
19995,6477,10
19995,10530,10
19995,1924,10
19995,9327,10
19995,10603,10
19995,8839,10
19995,156022,10
19995,8963,10
19995,8984,10
19995,795,10
19995,9374,10
19995,8584,10
19995,2320,10
19995,8077,10
19995,8818,10
19995,8195,10
19995,116149,10
19995,10632,10
19995,72197,10
19995,12123,10
19995,9833,10
19995,145220,10
19995,14623,10
19995,36586,10
19995,8536,10
19995,479,10
19995,11456,10
19995,3683,10
19995,22803,10
19995,285923,10
19995,97630,10
19995,11817,10
19995,18239,10
19995,38050,10
19995,72105,10
19995,37686,10
19995,187017,10
19995,628,10
19995,224141,10
19995,2112,10
19995,10329,10
19995,74465,10
19995,13811,10
19995,6950,10
19995,225574,10
19995,13836,10
19995,752,10
19995,6038,10
19995,11451,10
19995,60304,10
19995,46529,10
19995,300671,10
19995,228326,10
19995,2649,10
19995,9631,10
19995,928,10
19995,1577,10
19995,14199,10
19995,1907,10
19995,9691,10
19995,72710,10
19995,10782,10
19995,10061,10
19995,10386,10
19995,421,10
19995,316152,10
19995,241554,10
19995,2252,10
19995,11968,10
19995,10047,10
19995,69668,10
19995,11212,10
19995,11863,10
19995,109491,10
19995,9275,10
19995,10416,10
19995,47327,10
19995,15268,10
19995,10796,10
19995,9548,10
19995,1900,10
19995,198184,10
